player_id,name,position,team,injury_status,fantasy_positions,adp,proj_points
11498,Tyler Murray,LB,,,['LB'],,
4505,Cameron Tom,C,,,['OL'],,
1504,Demontre Hurst,CB,,,['DB'],,
7631,Christian Darrisaw,T,MIN,Questionable,"['OL', 'OT']",,
2401,Xavier Cooper,DT,,,['DL'],,
11650,Luke McCaffrey,WR,WAS,,['WR'],,
11457,Trey Wolff,K,,,['K'],,
12199,Bryce Gallagher,LB,,,['LB'],,
7235,Aleva Hifo,WR,,,['WR'],,
7714,Dan Moore,OT,TEN,,"['OL', 'OT']",,
5766,Sam Beal,CB,,,['DB'],,
6314,Cam Lewis,CB,BUF,,['DB'],,
1782,Brian Folkerts,C,,,['OL'],,
8798,Felix Harper,QB,,,['QB'],,
5988,Mitch Hyatt,OL,,,['OL'],,
32,Jacob Tamme,TE,,,['TE'],,
11879,Rayshad Williams,CB,,,['DB'],,
12661,Jordan Hancock,DB,BUF,,['DB'],,
624,Eugene Sims,DE,,,['DL'],,
6339,Jamal Davis,DE,,,"['DL', 'LB']",,
4366,Landon Lechler,OT,,,['OL'],,
3766,Michael Hunter,CB,,,['DB'],,
1961,Bryan Witzmann,G,,,['OL'],,
11894,Kyler Baugh,DL,PIT,,['DL'],,
729,Jermelle Cudjo,DT,,,['DL'],,
6168,John Ursua,WR,,,['WR'],,
6988,Raymond Calais,RB,,,['RB'],,
4195,Jake Elliott,K,PHI,,['K'],,
1311,DeShawn Shead,CB,,,['DB'],,
2635,Vernon Johnson,WR,,,['WR'],,
11363,William Hooper,CB,,,['DB'],,
4679,Nick Usher,OLB,,,['LB'],,
3645,Tyler Marz,G,,,['OL'],,
6263,Trevor Wood,TE,,,['TE'],,
1537,Joplo Bartu,LB,,,['LB'],,
7021,Rico Dowdle,RB,CAR,,['RB'],,
10878,Deonte Banks,DB,NYG,,['DB'],,
11301,Braxton Westfield,WR,,,['WR'],,
3892,Jarvis Turner,WR,,,['WR'],,
8022,Drew Himmelman,OT,,,"['OL', 'OT']",,
3102,BJ Lowery,CB,,,['DB'],,
11895,Mason Tipton,WR,NO,,['WR'],,
12895,Malik Verdon,DB,ATL,PUP,['DB'],,
35,Desmond Bishop,ILB,,,['LB'],,
6281,John Keenoy,C,,,['OL'],,
230,Robert Meachem,WR,,,['WR'],,
2396,Chaz Green,T,,,"['OG', 'OL', 'OT']",,
5202,Jaryd Jones-Smith,T,,,['OL'],,
7228,Ahmad Wagner,WR,,,['WR'],,
5260,Vyncint Smith,WR,,,['WR'],,
1701,Eric Rogers,WR,,,['WR'],,
11630,Roman Wilson,WR,PIT,,['WR'],,
1606,Jumal Rolle,CB,,,['DB'],,
8565,Bryce Watts,CB,,,['DB'],,
7129,Blake Brandel,T,MIN,,['OL'],,
7083,Tyler Huntley,QB,,,['QB'],,
764,Derek Hagan,WR,,,['WR'],,
12735,Caleb Lohner,TE,DEN,,['TE'],,
12393,Nik Constantinou,P,,,['P'],,
11798,Zion Logue,DL,BUF,,['DL'],,
726,Tyler Polumbus,T,,,['OL'],,
1463,Knile Davis,RB,,,['RB'],,
12774,Joe Huber,OG,MIN,,['OG'],,
12288,Mathieu Severance,RB,,,['RB'],,
7570,Player Invalid,WR,,,['WR'],,
