Player,position,Rec,Yds,TD,20+,40+,LNG,Rec 1st,1st%,Rec FUM,Rec YAC/R,Tgts
Michael Mayer,TE,21,156,0,1,0,29,8,38.1,0,61,32
Devin Singletary,RB,21,119,0,1,0,23,4,19,0,178,24
Mike Williams,WR,21,298,1,6,0,32,14,66.7,0,35,34
Mike Williams,WR,21,298,1,6,0,32,14,66.7,0,35,34
Erick All,TE,20,158,0,1,0,28,8,40,0,87,22
Gabe Davis,WR,20,239,2,6,0,22,13,65,1,39,42
Elijah Higgins,TE,20,172,2,1,0,23,10,50,0,90,24
Brian Robinson,RB,20,159,0,1,0,32,4,20,0,179,25
Drew Sample,TE,20,109,1,0,0,12,8,40,1,81,22
Rashid Shaheed,WR,20,349,3,5,3,70,12,60,0,106,41
Robert Woods,WR,20,203,0,2,0,32,12,60,3,73,30
Braelon Allen,RB,19,148,1,0,0,15,8,42.1,0,163,27
Jahan Dotson,WR,19,216,0,2,0,36,12,63.2,0,72,33
Derrick Henry,RB,19,193,2,2,0,27,11,57.9,0,216,22
Tanner Hudson,TE,19,154,1,0,0,19,9,47.4,1,97,23
Lucas Krull,TE,19,152,0,1,0,23,7,36.8,0,67,23
Raheem Mostert,RB,19,161,0,1,0,25,10,52.6,0,146,23
Johnny Mundt,TE,19,142,2,1,0,20,8,42.1,0,83,27
Dare Ogunbowale,RB,19,198,1,2,0,31,8,42.1,0,168,28
Marquez Valdes-Scantling,WR,19,411,4,8,3,71,14,73.7,0,143,44
Darnell Washington,TE,19,200,1,3,0,29,9,47.4,0,126,25
Ty Johnson,RB,18,284,3,5,1,41,14,77.8,0,170,25
Luke McCaffrey,WR,18,168,0,2,0,30,8,44.4,0,97,24
Jeremy Ruckert,TE,18,105,0,0,0,12,6,33.3,0,84,28
JuJu Smith-Schuster,WR,18,231,2,3,1,50,11,61.1,0,155,26
Jonathan Taylor,RB,18,136,1,1,0,25,7,38.9,1,150,31
Ray Davis,RB,17,189,3,2,2,63,8,47.1,0,164,19
Jonathan Mingo,WR,17,167,0,2,0,35,6,35.3,0,67,42
Kalif Raymond,WR,17,215,2,3,0,38,10,58.8,0,137,22
Nick Vannett,TE,17,135,3,1,0,24,7,41.2,0,110,20
Emari Demercado,RB,16,104,0,1,0,24,3,18.8,0,95,20
Kenneth Gainwell,RB,16,116,0,0,0,16,5,31.2,0,108,22
Roschon Johnson,RB,16,104,0,0,0,17,6,37.5,0,93,20
Trey Sermon,RB,16,99,0,0,0,14,3,18.8,0,95,19
Stone Smartt,TE,16,208,0,4,0,31,11,68.8,1,66,19
DJ Turner,WR,16,158,1,2,0,30,9,56.2,0,83,29
Isaac Guerendo,RB,15,152,0,3,1,40,7,46.7,1,107,16
Christian McCaffrey,RB,15,146,0,2,0,30,6,40,1,98,19
Cade Stover,TE,15,133,1,1,0,27,5,33.3,0,94,22
Nate Adkins,TE,14,115,3,0,0,16,6,42.9,0,76,15
Nelson Agholor,WR,14,231,2,5,1,56,10,71.4,0,85,29
Cam Akers,RB,14,68,3,0,0,9,4,28.6,0,83,18
Daniel Bellinger,TE,14,125,0,0,0,17,8,57.1,0,53,17
Kylen Granson,TE,14,182,0,3,1,40,8,57.1,0,109,31
Pierre Strong,RB,14,104,0,2,0,21,3,21.4,0,123,22
Mason Tipton,WR,14,99,0,0,0,15,2,14.3,0,27,26
Tyler Allgeier,RB,13,88,0,0,0,13,2,15.4,0,93,13
