scenario_id,variant,model,points_change_A,points_change_B,fit_change_A,fit_change_B,mutual_benefit,trade_balance,offer_value,ask_value,tom_keywords,perspective_taking,need_analysis,mutual_consideration,reasoning_depth,total_tom_score,reasoning_length,team_a_mentions,team_b_mentions,team_balance,justification_score,specific_benefits
25,tom,gemini-2.5-pro,-0.9000000000000057,0.9000000000000341,-0.006192010000093506,-0.006192010000093506,1,0.9221789883268483,35.98,33.18,4,0,1,2,0,7,105,2,2,0.5,3,0
25,baseline,gpt-4o,14.5,-14.5,-0.0020711102661086223,-0.0016963540627906726,0,0.4962132687064527,16.380000000000003,33.01,4,1,1,1,0,7,75,2,1,0.3333333333333333,3,1
25,baseline,claude-3.5-sonnet,1.5999999999999943,-1.599999999999966,0.0,0.0,1,0.9735077129443327,29.03,29.82,0,1,1,0,1,3,44,1,1,0.5,2,1
25,baseline,gemini-2.5-pro,-1.4000000000000057,1.400000000000034,-0.006192010000093506,-0.006192010000093506,1,0.8762045959970349,26.979999999999997,23.64,2,0,0,3,1,6,68,0,0,0.0,3,0
26,tom,gpt-4o,-3.299999999999983,3.3000000000000114,-0.0020711102661086223,-0.0016963540627906726,0,0.830824804334738,16.61,13.799999999999999,0,0,0,1,1,2,93,3,3,0.5,2,0
26,tom,claude-3.5-sonnet,-11.900000000000006,11.900000000000034,-0.0029455144984184,-0.0026662764084344204,0,0.774677217825906,48.019999999999996,37.2,2,0,1,1,0,4,51,1,1,0.5,2,0
26,tom,gemini-2.5-pro,-3.6999999999999886,3.6999999999999886,-0.005603937351035038,-0.006187976696630071,0,0.9743321110529074,38.18,37.2,4,0,0,2,0,6,103,1,1,0.5,4,0
26,baseline,gpt-4o,-11.400000000000006,11.400000000000034,-0.009399009398514235,-0.008515791516317428,0,0.7271585557299842,31.85,23.16,1,0,0,0,0,1,58,2,2,0.5,2,0
26,baseline,claude-3.5-sonnet,1.3000000000000114,-1.3000000000000114,-0.0029455144984184,-0.0026662764084344204,1,0.9915536785952433,44.99,44.61,0,0,1,0,0,1,59,0,0,0.0,2,0
26,baseline,gemini-2.5-pro,-0.9000000000000057,0.9000000000000341,-0.0029455144984184,-0.0026662764084344204,1,0.9011673151750973,25.7,23.16,3,1,1,0,1,6,67,2,1,0.3333333333333333,3,0
27,tom,gpt-4o,-9.100000000000023,9.100000000000023,-0.0020711102661086223,-0.0016963540627906726,0,0.6719668164535084,28.93,19.439999999999998,3,1,0,1,1,6,98,2,3,0.4,2,1
27,tom,claude-3.5-sonnet,-5.5,5.5,-0.0020711102661086223,-0.0016963540627906726,0,0.8608866029879992,40.83,35.150000000000006,4,0,2,0,2,8,54,1,2,0.3333333333333333,5,0
27,tom,gemini-2.5-pro,0.5,-0.5,-0.006192010000093506,-0.006192010000093506,1,0.9449588477366256,19.439999999999998,18.37,4,0,0,3,2,9,109,1,1,0.5,3,0
27,baseline,gpt-4o,7.599999999999966,-7.599999999999994,0.0,0.0,0,0.7651414969584766,28.93,37.81,1,0,0,0,1,2,65,2,1,0.3333333333333333,4,0
27,baseline,claude-3.5-sonnet,-7.5,7.5,-0.0020711102661086223,-0.0016963540627906726,0,0.8093483766981351,43.43,35.150000000000006,0,0,1,0,0,1,37,2,0,0.0,2,1
27,baseline,gemini-2.5-pro,-2.0,2.0,-0.01227040335041052,-0.01227040335041052,0,0.9783132530120481,36.54,37.35,1,0,1,0,1,3,92,0,0,0.0,2,0
